precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 62,853.55|/inmueble/460270|Departamento en  Avenida San Bernardo, Los Olivos, Perú|67m2|3|2|PE|Los Olivos, Lima|Lima Departamento|Avenida San Bernardo, Los Olivos, Perú|-11.9527907|-77.0674108
$ 56,500|/inmueble/352949|Departamento en  Jr Rousvelt, Santiago De Surco, Lima, Lima, Peru|46m2|1|1|PE|Santiago de Surco, Lima|Lima Departamento|Jr Rousvelt, Santiago De Surco, Lima, Lima, Peru|-12.146411|-77.007966
$ 190,000|/inmueble/453538|Departamento en  Los Bambues 440, La Molina, Perú|104m2|3|2|PE|Camacho, La Molina, Lima|Lima Departamento|Los Bambues 440, La Molina, Perú|-12.092737099999999|-76.9515977
$ 147,542.43|/inmueble/38a4-a52e-acde9b8a-6ca5f3fc31b0-4e82|Departamento en  Corpac, Lima|65m2|2|2|PE|Corpac, San Isidro, Lima|Lima Departamento||-12.1019256|-77.0177179
$ 130,000|/inmueble/4b39-ac5a-9ee34856-4fa5534007f5-1273|Departamento en  Avenida Andrés Rázuri 120, San Miguel, Perú|81m2|3|2|PE|Maranga, San Miguel, Lima|Lima Departamento|Avenida Andrés Rázuri 120, San Miguel, Perú|-12.0800134|-77.1017248
$ 280,000|/inmueble/587943|Departamento en  San Borja, Lima|143m2|3|2|PE|San Borja, Lima|Lima Departamento||-12.0991009|-76.9805827
$ 205,000|/inmueble/d198-baa7-4c1a2794-76a38a963490-4e22|Departamento en  Calle Maria Reiche 176, Santiago De Surco, Perú|95m2|2|1|PE|Santiago de Surco, Lima|Lima Departamento|Calle Maria Reiche 176, Santiago De Surco, Perú|-12.1210943|-76.9962261
$ 183,000|/inmueble/585037|Departamento en  Barranco, Av. Pedro De Osma, Barranco, Lima, Perú|56m2|2|2|PE|Barranco, Lima|Lima Departamento|Barranco, Av. Pedro De Osma, Barranco, Lima, Perú|-12.1494604|-77.0214926
$ 200,000|/inmueble/606492|Departamento en  Calle Los Laureles 265, San Isidro, Perú|128.43m2|2|3|PE|Country Club, San Isidro, Lima|Lima Departamento|Calle Los Laureles 265, San Isidro, Perú|-12.0932019|-77.0460796
$ 98,000|/inmueble/655-93d7-33d8d9d7-f417b33dd0a6-4199|Departamento en  Jr. José Galvez 1263, Lima, Perú|80m2|3|2|PE|Cercado de Lima, Lima|Lima Departamento|Jr. José Galvez 1263, Lima, Perú|-12.0767972|-77.0301116
